year,iso_code3,elasticity_ippu_cement_production_to_gdp,elasticity_ippu_chemicals_production_to_gdp,elasticity_ippu_electronics_production_to_gdp,elasticity_ippu_glass_production_to_gdp,elasticity_ippu_lime_and_carbonite_production_to_gdp,elasticity_ippu_metals_production_to_gdp,elasticity_ippu_mining_production_to_gdp,elasticity_ippu_paper_production_to_gdp,elasticity_ippu_plastic_production_to_gdp,elasticity_ippu_rubber_and_leather_production_to_gdp,elasticity_ippu_textiles_production_to_gdp
2037,BLR,1.4333333333333333,1.4333333333333333,1.4333333333333333,1.0795587269363802,0.3500000000000001,1.4333333333333333,0.3500000000000001,1.4333333333333333,1.4333333333333333,1.4333333333333333,1.4333333333333333
2038,BLR,1.4,1.4,1.4,1.073438824864351,0.4,1.4,0.4,1.4,1.4,1.4,1.4
2039,BLR,1.3666666666666667,1.3666666666666667,1.3666666666666667,1.0673189227923219,0.45000000000000007,1.3666666666666667,0.45000000000000007,1.3666666666666667,1.3666666666666667,1.3666666666666667,1.3666666666666667
2040,BLR,1.3333333333333335,1.3333333333333335,1.3333333333333335,1.0611990207202926,0.5,1.3333333333333335,0.5,1.3333333333333335,1.3333333333333335,1.3333333333333335,1.3333333333333335
2041,BLR,1.3,1.3,1.3,1.0550791186482633,0.55,1.3,0.55,1.3,1.3,1.3,1.3
2042,BLR,1.2666666666666666,1.2666666666666666,1.2666666666666666,1.048959216576234,0.6000000000000001,1.2666666666666666,0.6000000000000001,1.2666666666666666,1.2666666666666666,1.2666666666666666,1.2666666666666666
2043,BLR,1.2333333333333334,1.2333333333333334,1.2333333333333334,1.0428393145042048,0.6500000000000001,1.2333333333333334,0.6500000000000001,1.2333333333333334,1.2333333333333334,1.2333333333333334,1.2333333333333334
2044,BLR,1.2,1.2,1.2,1.0367194124321755,0.7000000000000002,1.2,0.7000000000000002,1.2,1.2,1.2,1.2
2045,BLR,1.1666666666666665,1.1666666666666665,1.1666666666666665,1.0305995103601462,0.75,1.1666666666666665,0.75,1.1666666666666665,1.1666666666666665,1.1666666666666665,1.1666666666666665
2046,BLR,1.1333333333333333,1.1333333333333333,1.1333333333333333,1.0244796082881171,0.8,1.1333333333333333,0.8,1.1333333333333333,1.1333333333333333,1.1333333333333333,1.1333333333333333
2047,BLR,1.1,1.1,1.1,1.0183597062160878,0.8500000000000001,1.1,0.8500000000000001,1.1,1.1,1.1,1.1
2048,BLR,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0122398041440586,0.9000000000000001,1.0666666666666667,0.9000000000000001,1.0666666666666667,1.0666666666666667,1.0666666666666667,1.0666666666666667
2049,BLR,1.0333333333333332,1.0333333333333332,1.0333333333333332,1.0061199020720293,0.9500000000000002,1.0333333333333332,0.9500000000000002,1.0333333333333332,1.0333333333333332,1.0333333333333332,1.0333333333333332
2050,BLR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010,BLZ,-2.8025378145198867,-7.610406122080621,-1.4729682041977732,3.1657858840708535,-35.3668867322876,8.363439601658436,-34.47795712337144,-6.477491666311377,-4.832364099441082,7.59495500183844,-8.907855114417607
2011,BLZ,7.194290880012763,-2.3308184527603433,8.203258754941038,-1.9822253682593265,0.0,-4.843145436735242,-28.394292762612075,-4.8850306723070025,3.960764081946802,-16.081242411404904,-4.265379191466355
2012,BLZ,3.667720966821656,-7.110263121401152,5.4198586717608395,12.581505954171917,0.0,-0.31253235208612173,11.141504440196197,5.846680157167665,8.203712875112087,14.71049544610323,-3.594279838128548
2013,BLZ,-0.5148746688789995,2.961651055003787,6.118386965170148,-0.7443935170384864,0.0,-4.0054241752585815,-33.90581079408171,-9.689474822028464,-3.674976368401694,5.803790784317339,10.803880253337484
2014,BLZ,-2.0569052869976234,-0.881928460609376,-1.8611185405653254,10.63509328183387,0.0,9.278654669136024,3362.9882720587734,4.758585959951631,8.167854089810906,17.79674187205356,9.515420474125605
2015,BLZ,-23.458693199544474,-5.292078559455605,-20.129423040612753,22.22175810008224,-0.0,20.962988197943847,-398.7884676494328,38.643064289946615,5.664220362256657,-20.17162351021155,-24.933611694952653
2016,BLZ,-980.6956381183362,-30.767582992163867,47.4099452998129,-33.659607253008076,-0.0,11.7218361872236,-1187.6441064723108,-50.27903364621178,-4.110478795701505,22.67273511005446,10.231544825517279
2017,BLZ,165.18005154542786,8.547383859006487,2.6254491791559,40.64945631359579,-0.0,-3.5397259497263978,122.26610646610978,37.661149305196375,2.5965695601891943,21.299372904940373,38.01345399511503
2018,BLZ,16.740737742504887,16.236224180771202,30.668444074865842,-24.414271111612557,-0.0,-29.817570161288423,-4210.348251116987,-35.32834678672595,-21.730006929858202,3.251219019931509,-20.609756076754845
2019,BLZ,-105.46117788302898,25.82389993627757,-70.29896366236986,-8.602296067808128,-209605559.82592708,17.296363108066135,177.6638345238829,30.117419409007887,0.6166565202797721,-20.96848283873978,-14.82839381907345
2020,BLZ,-0.5,-0.5,2.0,2.0,1.0,-0.31253235208612173,-0.5,-0.5,2.0,2.0,-0.5
2021,BLZ,-0.45,-0.45,1.9666666666666666,1.9666666666666666,1.0,-0.268781273683251,-0.45,-0.45,1.9666666666666666,1.9666666666666666,-0.45
2022,BLZ,-0.4,-0.4,1.9333333333333333,1.9333333333333333,1.0,-0.2250301952803803,-0.4,-0.4,1.9333333333333333,1.9333333333333333,-0.4
2023,BLZ,-0.35,-0.35,1.9,1.9,1.0,-0.18127911687750958,-0.35,-0.35,1.9,1.9,-0.35
2024,BLZ,-0.3,-0.3,1.8666666666666667,1.8666666666666667,1.0,-0.13752803847463885,-0.3,-0.3,1.8666666666666667,1.8666666666666667,-0.3
2025,BLZ,-0.25,-0.25,1.8333333333333333,1.8333333333333333,1.0,-0.09377696007176811,-0.25,-0.25,1.8333333333333333,1.8333333333333333,-0.25
2026,BLZ,-0.19999999999999996,-0.19999999999999996,1.8,1.8,1.0,-0.05002588166889743,-0.19999999999999996,-0.19999999999999996,1.8,1.8,-0.19999999999999996
2027,BLZ,-0.14999999999999997,-0.14999999999999997,1.7666666666666666,1.7666666666666666,1.0,-0.006274803266026696,-0.14999999999999997,-0.14999999999999997,1.7666666666666666,1.7666666666666666,-0.14999999999999997
2028,BLZ,-0.09999999999999998,-0.09999999999999998,1.7333333333333334,1.7333333333333334,1.0,0.03747627513684404,-0.09999999999999998,-0.09999999999999998,1.7333333333333334,1.7333333333333334,-0.09999999999999998
